pl_name,hostname,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
HD 212301 b,HD 212301,Radial Velocity,2.245715,2.8e-05,-2.8e-05,0.45,,,0.45,,,,,,0.036,,,0.0,,
HD 213240 b,HD 213240,Radial Velocity,882.70001,7.6,-7.6,5.58,0.31,-0.31,5.58,0.31,-0.31,,,,1.89,0.03,-0.03,0.42,0.01,-0.01
HD 213240 b,HD 213240,Radial Velocity,951.0,42.0,-42.0,4.5,,,4.5,,,,,,2.03,,,0.45,0.04,-0.04
HD 214823 b,HD 214823,Radial Velocity,1877.0,15.0,-15.0,19.2,1.4,-1.4,19.2,1.4,-1.4,,,,3.18,0.12,-0.12,0.154,0.014,-0.014
HD 214823 b,HD 214823,Radial Velocity,1854.4,1.1,-1.1,20.3,2.6,-2.6,20.3,2.6,-2.6,,,,3.23,0.2,-0.2,0.1641,0.0026,-0.0026
HD 217786 b,HD 217786,Radial Velocity,1319.0,4.0,-4.0,13.0,0.8,-0.8,13.0,0.8,-0.8,,,,2.38,0.04,-0.04,0.4,0.05,-0.05
HD 220842 b,HD 220842,Radial Velocity,218.47,0.19,-0.19,3.18,0.15,-0.15,3.18,0.15,-0.15,,,,0.74,0.018,-0.018,0.404,0.009,-0.009
HD 222582 b,HD 222582,Radial Velocity,572.38,0.61,-0.61,7.75,0.65,-0.65,7.75,0.65,-0.65,,,,1.347,0.078,-0.078,0.725,0.012,-0.012
HD 222582 b,HD 222582,Radial Velocity,572.537,0.05,-0.049,7.88,0.24,-0.24,7.88,0.24,-0.24,,,,1.335,0.02,-0.02,0.7615,0.0035,-0.0034
HD 222582 b,HD 222582,Radial Velocity,575.9,3.6,-3.6,5.29,,,5.29,,,,,,1.35,,,0.71,0.05,-0.05
HD 222582 b,HD 222582,Radial Velocity,572.38,0.61,-0.61,8.37,0.4,-0.4,8.37,0.4,-0.4,,,,1.34,0.02,-0.02,0.73,0.01,-0.01
HD 233832 b,HD 233832,Radial Velocity,2058.0,47.0,-40.0,1.78,0.08,-0.06,1.78,0.08,-0.06,,,,2.827,0.045,-0.039,0.359,0.046,-0.039
HD 233832 b,HD 233832,Radial Velocity,4047.0,91.0,-117.0,2.72,0.23,-0.23,2.72,0.23,-0.23,,,,4.438,0.07,-0.09,0.381,0.029,-0.028
HD 23596 b,HD 23596,Radial Velocity,1561.0,12.0,-12.0,7.71,0.39,-0.39,7.71,0.39,-0.39,,,,2.772,0.062,-0.062,0.266,0.014,-0.014
HD 23596 b,HD 23596,Radial Velocity,1561.0,12.0,-12.0,9.03,0.74,-0.74,9.03,0.74,-0.74,,,,2.77,0.05,-0.05,0.27,0.01,-0.01
HD 23596 b,HD 23596,Radial Velocity,1565.0,21.0,-21.0,8.1,,,8.1,,,,,,2.88,,,0.292,0.023,-0.023
HD 25171 b,HD 25171,Radial Velocity,1802.29,24.12,-22.92,0.915,0.011,-0.012,0.915,0.011,-0.012,,,,2.971,0.033,-0.032,0.042,0.046,-0.029
HD 25171 b,HD 25171,Radial Velocity,1845.0,167.0,-167.0,0.95,0.1,-0.1,0.95,0.1,-0.1,,,,3.02,0.16,-0.16,0.08,0.06,-0.06
HD 2638 b,HD 2638,Radial Velocity,3.458,0.0081,-0.0083,0.5,,,0.5,,,,,,0.044,,,0.187,,
HD 2638 b,HD 2638,Radial Velocity,3.4442,0.0002,-0.0002,0.42,0.03,-0.03,0.42,0.03,-0.03,,,,0.04,0.0,0.0,0.0,,
HD 2638 b,HD 2638,Radial Velocity,3.4442,0.0002,-0.0002,0.48,,,0.48,,,,,,0.044,,,0.0,,
HD 26965 b,HD 26965,Radial Velocity,42.378,0.01,-0.01,0.02665,0.00148,-0.00148,0.02665,0.00148,-0.00148,,,,,,,0.04,0.05,-0.03
HD 27442 b,HD 27442,Radial Velocity,415.2,5.0,-5.0,1.35,0.11,-0.11,1.35,0.11,-0.11,,,,1.16,0.11,-0.11,0.058,0.05,-0.05
HD 27442 b,HD 27442,Radial Velocity,428.1,1.1,-1.1,1.56,0.14,-0.14,1.56,0.14,-0.14,,,,1.271,0.073,-0.073,0.06,0.043,-0.043
HD 28254 b,HD 28254,Radial Velocity,1116.0,26.0,-26.0,1.16,0.1,-0.06,1.16,0.1,-0.06,,,,2.15,0.04,-0.05,0.81,0.05,-0.02
HD 30856 b,HD 30856,Radial Velocity,912.0,41.0,-41.0,1.8,0.2,-0.2,1.8,0.2,-0.2,,,,1.8,0.2,-0.2,0.117,,
HD 30856 b,HD 30856,Radial Velocity,847.0,20.0,-20.0,1.547,0.091,-0.091,1.547,0.091,-0.091,,,,1.85,0.13,-0.13,0.061,0.058,-0.058
HD 30856 b,HD 30856,Radial Velocity,912.0,41.0,-41.0,2.11,0.32,-0.32,2.11,0.32,-0.32,,,,2.04,0.07,-0.07,0.12,0.18,-0.18
HD 33283 b,HD 33283,Radial Velocity,18.179,0.007,-0.007,0.33,,,0.33,,,,,,0.145,,,0.48,0.05,-0.05
HD 33283 b,HD 33283,Radial Velocity,18.179,0.007,-0.007,0.37,0.04,-0.04,0.37,0.04,-0.04,,,,0.15,0.0,0.0,0.48,0.05,-0.05
HD 33283 b,HD 33283,Radial Velocity,18.1991,0.0017,-0.0017,0.329,0.071,-0.071,0.329,0.071,-0.071,,,,0.1508,0.0087,-0.0087,0.399,0.056,-0.056
HD 38529 b,HD 38529,Radial Velocity,14.32,0.8,-0.8,0.77,,,0.77,,,,,,0.13,,,0.27,0.03,-0.03
HD 38529 b,HD 38529,Radial Velocity,14.31014,0.00023,-0.00022,0.876,0.014,-0.014,0.876,0.014,-0.014,,,,0.1329,0.00034,-0.00035,0.26,0.014,-0.015
HD 38529 b,HD 38529,Radial Velocity,14.3098,0.0005,-0.0005,0.839,0.03,-0.03,0.839,0.03,-0.03,,,,0.131,0.002,-0.002,0.257,0.015,-0.015
HD 38529 b,HD 38529,Radial Velocity,14.3102,0.00081,-0.00081,0.856,0.072,-0.072,0.856,0.072,-0.072,,,,0.1313,0.0076,-0.0076,0.244,0.028,-0.028
HD 38529 b,HD 38529,Radial Velocity,14.30944,0.0003,-0.0003,0.797,0.015,-0.015,0.797,0.015,-0.015,,,,0.1294,0.0058,-0.0058,0.28,0.017,-0.017
HD 38529 b,HD 38529,Radial Velocity,14.3093,0.0013,-0.0013,0.852,0.074,-0.074,0.852,0.074,-0.074,,,,0.1313,0.0076,-0.0076,0.248,0.023,-0.023
HD 38529 c,HD 38529,Radial Velocity,2136.1,3.1,-3.1,12.99,0.15,-0.15,12.99,0.15,-0.15,,,,3.64,0.16,-0.16,0.3407,0.0069,-0.0069
HD 38529 c,HD 38529,Radial Velocity,2140.2,5.7,-5.7,13.38,0.39,-0.39,13.38,0.39,-0.39,,,,3.712,0.048,-0.048,0.341,0.005,-0.005
HD 38529 c,HD 38529,Radial Velocity,2165.0,14.0,-14.0,13.2,1.1,-1.1,13.2,1.1,-1.1,,,,3.74,0.22,-0.22,0.3506,0.0085,-0.0085
HD 38529 c,HD 38529,Radial Velocity,2132.4,3.2,-3.2,13.23,0.11,-0.12,13.23,0.11,-0.12,,,,,,,0.342,0.007,-0.007
HD 38529 c,HD 38529,Radial Velocity,2146.1,5.5,-5.5,13.1,1.1,-1.1,13.1,1.1,-1.1,,,,3.72,0.21,-0.21,0.3551,0.0074,-0.0074
HD 38529 c,HD 38529,Radial Velocity,2133.3,1.5,-1.5,13.21,0.1,-0.1,13.21,0.1,-0.1,,,,3.7365,0.0099,-0.0099,0.3545,0.0048,-0.0047
HD 40979 b,HD 40979,Radial Velocity,264.15,0.23,-0.23,4.01,0.13,-0.13,4.01,0.13,-0.13,,,,0.846,0.007,-0.007,0.252,0.014,-0.014
HD 40979 b,HD 40979,Radial Velocity,264.14999,0.23,-0.23,4.67,0.34,-0.34,4.67,0.34,-0.34,,,,0.85,0.01,-0.01,0.25,0.01,-0.01
HD 40979 b,HD 40979,Radial Velocity,263.84,0.71,-0.71,3.83,0.36,-0.36,3.83,0.36,-0.36,,,,0.855,0.049,-0.049,0.269,0.034,-0.034
HD 40979 b,HD 40979,Radial Velocity,265.36,0.24,-0.25,3.8,0.16,-0.16,3.8,0.16,-0.16,,,,0.8669,0.0076,-0.0075,0.251,0.028,-0.028
HD 41004 A b,HD 41004 A,Radial Velocity,963.0,38.0,-38.0,2.54,0.74,-0.74,2.54,0.74,-0.74,,,,,,,0.74,0.2,-0.2
HD 41004 B b,HD 41004 B,Radial Velocity,1.328199,8.1e-05,-8.1e-05,18.64,0.26,-0.26,18.64,0.26,-0.26,,,,,,,0.065,0.014,-0.014
HD 41004 B b,HD 41004 B,Radial Velocity,1.3283,1.2e-05,-1.2e-05,18.37,0.22,-0.22,18.37,0.22,-0.22,,,,,,,0.081,0.012,-0.012
HD 4113 b,HD 4113,Radial Velocity,526.62,0.3,-0.3,1.56,0.04,-0.04,1.56,0.04,-0.04,,,,1.28,,,0.903,0.005,-0.005
HD 43691 b,HD 43691,Radial Velocity,36.9987,0.0011,-0.0011,2.55,0.34,-0.34,2.55,0.34,-0.34,,,,0.238,0.015,-0.015,0.0796,0.0067,-0.0067
HD 43691 b,HD 43691,Radial Velocity,36.96,0.02,-0.02,2.49,,,2.49,,,,,,0.24,,,0.14,0.02,-0.02
HD 46375 b,HD 46375,Radial Velocity,3.023573,6.5e-05,-6.5e-05,0.226,0.019,-0.019,0.226,0.019,-0.019,,,,0.0398,0.0023,-0.0023,0.063,0.026,-0.026
HD 46375 b,HD 46375,Radial Velocity,3.024,0.0005,-0.0005,0.249,0.03,-0.03,0.249,0.03,-0.03,,,,0.041,,,0.04,0.04,-0.04
HD 46375 b,HD 46375,Radial Velocity,3.023495,1.3e-05,-1.3e-05,0.2266,0.0089,-0.0086,0.2266,0.0089,-0.0086,,,,0.03998,0.00059,-0.0006,0.063,0.024,-0.024
HD 4732 b,HD 4732,Radial Velocity,360.2,1.4,-1.4,2.37,0.34,-0.34,2.37,0.34,-0.34,,,,1.19,0.05,-0.05,0.13,0.06,-0.06
HD 4732 c,HD 4732,Radial Velocity,2732.0,81.0,-81.0,2.37,0.38,-0.38,2.37,0.38,-0.38,,,,4.6,0.23,-0.23,0.23,0.07,-0.07
HD 59686 A b,HD 59686 A,Radial Velocity,299.36,0.26,-0.31,6.92,0.18,-0.24,6.92,0.18,-0.24,,,,1.086,0.0006,-0.0007,0.05,0.03,-0.02
HD 65216 b,HD 65216,Radial Velocity,613.09998,11.0,-11.0,1.18,0.06,-0.06,1.18,0.06,-0.06,,,,1.37,0.03,-0.03,0.41,0.06,-0.06
HD 65216 b,HD 65216,Radial Velocity,613.1,11.4,-11.4,1.21,,,1.21,,,,,,1.37,,,0.41,0.06,-0.06
HD 65216 b,HD 65216,Radial Velocity,577.6,1.328,-1.328,1.295,0.062,-0.062,1.295,0.062,-0.062,,,,1.301,0.02,-0.02,0.27,0.02,-0.02
HD 65216 b,HD 65216,Radial Velocity,572.4,2.1,-2.1,1.26,0.04,-0.04,1.26,0.04,-0.04,,,,1.3,0.03,-0.03,0.0,0.02,-0.02
HD 65216 c,HD 65216,Radial Velocity,152.6,0.6,-0.6,0.17,0.03,-0.03,0.17,0.03,-0.03,,,,0.54,0.01,-0.01,0.02,0.1,-0.1
HD 65216 c,HD 65216,Radial Velocity,5370.0,20.0,-20.0,2.03,0.11,-0.11,2.03,0.11,-0.11,,,,5.75,0.09,-0.09,0.17,0.04,-0.04
HD 7449 b,HD 7449,Radial Velocity,1255.5,5.1,-5.1,0.508,0.111,-0.111,0.508,0.111,-0.111,,,,2.38,0.04,-0.04,0.92,0.03,-0.03
HD 7449 b,HD 7449,Radial Velocity,1275.0,13.0,-13.0,1.38,0.53,-0.53,1.38,0.53,-0.53,,,,2.34,0.04,-0.04,0.82,0.06,-0.06
HD 7449 b,HD 7449,Radial Velocity,1275.0,15.0,-11.0,1.11,0.27,-0.37,1.11,0.27,-0.37,,,,2.3,0.04,-0.04,0.82,0.06,-0.06
HD 7449 b,HD 7449,Radial Velocity,1270.5,5.92,-12.1,1.09,0.52,-0.19,1.09,0.52,-0.19,,,,2.33,0.01,-0.02,0.8,0.08,-0.06
HD 75289 b,HD 75289,Radial Velocity,3.509267,6.4e-05,-6.4e-05,0.467,0.041,-0.041,0.467,0.041,-0.041,,,,0.0482,0.0028,-0.0028,0.034,0.029,-0.029
HD 75289 b,HD 75289,Radial Velocity,3.5098,0.0007,-0.0007,0.42,,,0.42,,,,,,0.046,,,0.024,0.021,-0.021
HD 75289 b,HD 75289,Radial Velocity,3.508,0.001,-0.001,0.46,,,0.46,,,,,,0.047,,,0.014,0.005,-0.005
HD 75289 b,HD 75289,Radial Velocity,3.50927,6.4e-05,-6.4e-05,0.49,0.03,-0.03,0.49,0.03,-0.03,,,,0.05,0.0,0.0,0.03,0.03,-0.03
HD 79498 b,HD 79498,Radial Velocity,1966.1,41.0,-41.0,1.34,0.07,-0.07,1.34,0.07,-0.07,,,,3.13,0.08,-0.08,0.59,0.02,-0.02
HD 79498 b,HD 79498,Radial Velocity,1807.0,15.0,-15.0,1.34,0.21,-0.21,1.34,0.21,-0.21,,,,2.98,0.15,-0.15,0.575,0.023,-0.023
HD 80606 b,HD 80606,Radial Velocity,111.43639,0.00032,-0.00031,4.16,0.13,-0.13,4.16,0.13,-0.13,,,,0.4602,0.0068,-0.0071,0.93043,0.00068,-0.00069
HD 80606 b,HD 80606,Radial Velocity,111.4367,0.0004,-0.0004,4.38,0.74,-0.74,,,,1.07,0.03,-0.03,,,,0.93,0.0,0.0
HD 80606 b,HD 80606,Radial Velocity,111.4367,0.0004,-0.0004,4.114,0.155,-0.155,,,,1.003,0.027,-0.027,0.4564,0.0087,-0.0087,,,
HD 80606 b,HD 80606,Radial Velocity,111.4367,0.0004,-0.0004,4.116,0.097,-0.1,,,,1.003,0.023,-0.023,0.4565,0.0051,-0.0053,0.93226,0.00064,-0.00069
HD 80606 b,HD 80606,Radial Velocity,111.428,0.002,-0.002,4.1,0.12,-0.12,4.1,0.12,-0.12,,,,0.46,0.007,-0.007,0.933,0.001,-0.001
HD 80606 b,HD 80606,Radial Velocity,111.429,0.001,-0.001,3.91,0.19,-0.19,3.91,0.19,-0.19,,,,0.447,0.011,-0.011,0.9324,0.0006,-0.0006
HD 80606 b,HD 80606,Radial Velocity,111.4357,0.0008,-0.0008,3.94,0.11,-0.11,,,,0.98,0.03,-0.03,0.449,0.006,-0.006,0.9332,0.0008,-0.0008
HD 8535 b,HD 8535,Radial Velocity,1313.0,28.0,-28.0,0.68,0.07,-0.04,0.68,0.07,-0.04,,,,2.45,0.04,-0.06,0.15,0.09,-0.05
HD 86081 b,HD 86081,Radial Velocity,2.1375,0.0002,-0.0002,1.64,0.09,-0.09,1.64,0.09,-0.09,,,,0.03,0.0,0.0,0.01,0.0,0.0
HD 86081 b,HD 86081,Radial Velocity,2.1378431,3.1e-06,-3.1e-06,1.48,0.23,-0.23,1.48,0.23,-0.23,,,,0.0346,0.0027,-0.0027,0.0119,0.0047,-0.0047
HD 86081 b,HD 86081,Radial Velocity,2.1375,0.0002,-0.0002,1.5,,,1.5,,,,,,0.035,,,0.008,0.004,-0.004
HD 8673 b,HD 8673,Radial Velocity,1634.0,17.0,-17.0,14.2,1.6,-1.6,14.2,1.6,-1.6,,,,3.02,0.15,-0.15,0.723,0.016,-0.016
HD 87646 b,HD 87646,Radial Velocity,13.481,0.001,-0.001,12.4,0.7,-0.7,12.4,0.7,-0.7,,,,0.117,0.003,-0.003,0.05,0.02,-0.02
HD 89744 b,HD 89744,Radial Velocity,256.78,0.02,-0.02,8.35,0.18,-0.18,8.35,0.18,-0.18,,,,0.917,0.009,-0.009,0.677,0.003,-0.003
HD 89744 b,HD 89744,Radial Velocity,256.78,0.05,-0.05,7.92,0.23,-0.23,7.92,0.23,-0.23,,,,0.91,0.01,-0.01,0.689,0.006,-0.006
HD 89744 b,HD 89744,Radial Velocity,256.78,0.05,-0.05,8.44,0.23,-0.23,8.44,0.23,-0.23,,,,0.918,0.01,-0.01,0.673,0.007,-0.007
HD 93963 A b,HD 93963 A,Transit,1.0376109,8.2e-06,-8.2e-06,,,,,,,0.137,0.011,-0.011,,,,,,
HD 93963 A b,HD 93963 A,Transit,1.0391353,4.9e-06,-4.9e-06,0.02454,0.01007,-0.01007,,,,0.12,0.004,-0.004,0.02085,0.00037,-0.00037,,,
HD 93963 A c,HD 93963 A,Transit,3.6451398,1.06e-05,-1.42e-05,0.06041,0.0129,-0.0129,,,,0.288,0.005,-0.005,0.04813,0.00085,-0.00085,,,
HD 93963 A c,HD 93963 A,Transit,3.6451549,1.4e-05,-1.4e-05,,,,,,,0.267,0.015,-0.015,,,,,,
HD 96167 b,HD 96167,Radial Velocity,498.04,0.76,-0.76,0.717,0.04,-0.04,0.717,0.04,-0.04,,,,1.332,0.098,-0.098,0.685,0.029,-0.029
HD 96167 b,HD 96167,Radial Velocity,498.1,0.81,-0.81,0.71,0.18,-0.18,0.71,0.18,-0.18,,,,1.332,0.092,-0.092,0.681,0.033,-0.033
HD 96167 b,HD 96167,Radial Velocity,498.89999,1.0,-1.0,0.8,0.08,-0.08,0.8,0.08,-0.08,,,,1.35,0.04,-0.04,0.71,0.04,-0.04
HD 96167 b,HD 96167,Radial Velocity,498.9,1.0,-1.0,0.68,0.18,-0.18,0.68,0.18,-0.18,,,,1.3,0.07,-0.07,0.71,0.04,-0.04
HD 98736 b,HD 98736,Radial Velocity,968.8,2.2,-2.2,2.33,0.78,-0.78,2.33,0.78,-0.78,,,,1.864,0.091,-0.091,0.226,0.064,-0.064
HD 99492 b,HD 99492,Radial Velocity,17.0431,0.0047,-0.0047,0.109,0.013,-0.013,0.109,0.013,-0.013,,,,0.1232,0.0071,-0.0071,0.254,0.092,-0.092
HD 99492 b,HD 99492,Radial Velocity,17.0495,0.0017,-0.0016,0.0841,0.0061,-0.0061,0.0841,0.0061,-0.0061,,,,0.1231,0.0014,-0.0015,0.085,0.07,-0.057
HD 99492 b,HD 99492,Radial Velocity,17.0431,0.0047,-0.0047,0.07,0.05,-0.05,0.07,0.05,-0.05,,,,0.12,0.0,0.0,0.25,0.09,-0.09
HD 99492 b,HD 99492,Radial Velocity,17.054,0.003,-0.003,0.087,0.006,-0.006,0.087,0.006,-0.006,,,,0.12186,2e-05,-2e-05,0.13,0.07,-0.07
HD 99492 b,HD 99492,Radial Velocity,17.054,0.003,-0.003,0.079,0.006,-0.006,0.079,0.006,-0.006,,,,0.123,0.001,-0.001,0.07,0.06,-0.06
HD 99492 b,HD 99492,Radial Velocity,17.038,0.00536,-0.00536,0.112,,,0.112,,,,,,0.119,,,0.05,0.12,-0.12
HIP 109600 b,HIP 109600,Radial Velocity,232.08,0.15,-0.15,2.68,0.12,-0.12,2.68,0.12,-0.12,,,,0.706,0.016,-0.016,0.163,0.006,-0.006
HIP 116454 b,HIP 116454,Transit,9.1205,0.0005,-0.0005,0.037,0.004,-0.004,,,,0.226,0.016,-0.016,0.0906,0.0049,-0.0049,0.205,0.072,-0.072
HIP 116454 b,HIP 116454,Transit,9.1205,0.0005,-0.0005,0.04,0.01,-0.01,,,,0.22,0.01,-0.01,,,,0.2,0.07,-0.07
HIP 65 A b,HIP 65 A,Transit,0.9809734,3.1e-06,-3.1e-06,3.213,0.078,-0.078,,,,2.03,0.61,-0.49,0.01782,0.0002,-0.00021,0.0,,
HIP 65 A b,HIP 65 A,Transit,0.98098068,1.17e-06,-1.17e-06,,,,,,,0.528,0.07,-0.07,,,,,,
HIP 65 A b,HIP 65 A,Transit,0.981,,,2.95,,,2.95,,,,,,0.017,,,0.009,,
HIP 70849 b,HIP 70849,Radial Velocity,17337.5,15512.5,-15512.5,9.0,6.0,-6.0,9.0,6.0,-6.0,,,,20.25,15.75,-15.75,0.715,0.245,-0.245
HIP 75056 A b,HIP 75056 A,Imaging,47000.0,30000.0,-30000.0,25.0,5.0,-5.0,,,,2.0,0.5,-0.5,30.0,15.0,-15.0,0.5,0.2,-0.2
HIP 79098 AB b,HIP 79098 AB,Imaging,,,,20.5,4.5,-4.5,,,,,,,345.0,6.0,-6.0,,,
HIP 8541 b,HIP 8541,Radial Velocity,1560.2,53.9,-53.9,5.5,1.0,-1.0,5.5,1.0,-1.0,,,,2.8,0.25,-0.25,0.16,0.06,-0.06
HIP 94235 b,HIP 94235,Transit,7.713057,2.1e-05,-2.1e-05,1.19247,,,,,,0.268,0.029,-0.025,0.0787,0.00056,-0.00017,0.32,0.2,-0.2
HIP 94235 b,HIP 94235,Transit,7.71212084,0.00112612,-0.00112612,,,,,,,0.268,0.106,-0.106,,,,,,
HR 5183 b,HR 5183,Radial Velocity,27000.0,16000.0,-8000.0,3.23,0.15,-0.14,3.23,0.15,-0.14,,,,18.0,6.0,-4.0,0.84,0.04,-0.04
HR 5183 b,HR 5183,Radial Velocity,43000.0,57000.0,-19000.0,3.16,0.18,-0.18,3.16,0.18,-0.18,,,,25.0,19.0,-8.3,0.886,0.049,-0.056
HR 858 b,HR 858,Transit,3.58529,1e-05,-1e-05,,,,,,,0.158,0.008,-0.008,,,,,,
HR 858 b,HR 858,Transit,3.58599,0.00015,-0.00015,,,,,,,0.186,0.006,-0.006,0.048,0.001,-0.0011,0.3,,
HR 858 c,HR 858,Transit,5.97293,0.0006,-0.00053,,,,,,,0.173,0.006,-0.006,0.0674,0.0014,-0.0016,0.19,,
HR 858 c,HR 858,Transit,5.97391245,1.866e-05,-1.866e-05,,,,,,,0.213,0.011,-0.011,,,,,,
HR 858 d,HR 858,Transit,11.23,0.0011,-0.001,,,,,,,0.193,0.008,-0.007,0.1027,0.0022,-0.0025,0.28,,
HR 858 d,HR 858,Transit,11.23046048,4.55e-05,-4.55e-05,,,,,,,0.185,0.019,-0.019,,,,,,
HU Aqr AB b,HU Aqr,Eclipse Timing Variations,2390.0,4.0,-4.0,5.9,0.6,-0.6,5.9,0.6,-0.6,,,,3.6,0.8,-0.8,0.0,,
HU Aqr AB c,HU Aqr,Eclipse Timing Variations,4368.0,515.0,-515.0,4.5,0.5,-0.5,4.5,0.5,-0.5,,,,5.4,0.9,-0.9,0.51,0.15,-0.15
HW Vir b,HW Vir,Eclipse Timing Variations,4640.0,70.0,-70.0,14.48228,1.01275,-1.01275,14.3,1.0,-1.0,,,,4.69,0.06,-0.06,0.4,0.1,-0.1
K2-122 b,K2-122,Transit,2.219368,5.1e-05,-5.2e-05,,,,,,,0.104,0.012,-0.017,,,,,,
K2-122 b,K2-122,Transit,2.2193023,2e-06,-2e-06,,,,,,,0.103,0.009,-0.004,0.0373,0.0038,-0.0095,,,
K2-122 b,K2-122,Transit,2.219225,0.000131,-0.000132,,,,,,,0.12,0.03,-0.02,,,,,,
K2-122 b,K2-122,Transit,2.219405,7.1e-05,-6.9e-05,,,,,,,0.114,0.007,-0.007,0.029,0.001,-0.001,0.21,0.182563,-0.167694
K2-122 b,K2-122,Transit,2.219315,7.4e-05,-7.4e-05,,,,,,,0.109,0.015,-0.012,0.0288,0.0009,-0.0009,,,
K2-122 b,K2-122,Transit,2.219282,0.000128,-0.00013,,,,,,,0.108,0.007,-0.007,0.0285,0.0002,-0.0002,,,
K2-122 b,K2-122,Transit,2.21944122,,,,,,,,,,,,,,,,,
K2-122 b,K2-122,Transit,2.219,,,,,,,,,,,,,,,,,
K2-136 b,K2-136,Transit,7.975292,0.000833,-0.00077,,,,,,,0.088,0.005,-0.004,,,,0.1,0.19,-0.07
K2-136 b,K2-136,Transit,7.9757,0.0011,-0.0011,,,,,,,0.094,0.014,-0.014,,,,0.72,,
K2-136 c,K2-136,Transit,17.3070177,2.88e-05,-2.88e-05,,,,,,,0.301,0.024,-0.024,,,,,,
K2-136 c,K2-136,Transit,17.307137,0.000252,-0.000284,,,,,,,0.26,0.01,-0.009,,,,0.13,0.27,-0.11
K2-136 c,K2-136,Transit,17.30681,0.00034,-0.00036,,,,,,,0.28,0.032,-0.032,,,,0.47,,
K2-136 c,K2-136,Transit,17.3077,0.0013,-0.0013,,,,,,,0.27,0.047,-0.042,0.11728,0.00048,-0.00048,,,
K2-136 d,K2-136,Transit,25.5715,0.0038,-0.004,,,,,,,0.138,0.021,-0.019,,,,0.75,,
K2-136 d,K2-136,Transit,25.575065,0.002418,-0.002357,,,,,,,0.129,0.01,-0.007,,,,0.14,0.13,-0.09
K2-148 b,K2-148,Transit,4.38393,0.00028,-0.00028,,,,,,,0.062,0.008,-0.018,,,,,,
K2-148 b,K2-148,Transit,4.38395,0.0008,-0.0008,,,,,,,0.119,0.017,-0.016,0.0454,0.0014,-0.0014,,,
K2-148 c,K2-148,Transit,6.92251,0.00047,-0.00041,,,,,,,0.08,0.009,-0.021,,,,,,
K2-148 c,K2-148,Transit,6.9226,0.0007,-0.0007,,,,,,,0.154,0.021,-0.019,0.0616,0.0019,-0.0019,,,
K2-148 d,K2-148,Transit,9.7579,0.001,-0.001,,,,,,,0.146,0.021,-0.019,0.0774,0.0024,-0.0024,,,
K2-148 d,K2-148,Transit,9.75833,0.00084,-0.00091,,,,,,,0.079,0.01,-0.024,,,,,,
K2-151 b,K2-151,Transit,3.835592,2.3e-05,-2.3e-05,,,,,,,0.12,0.014,-0.012,0.0365,0.0014,-0.0014,,,
K2-151 b,K2-151,Transit,3.835476,0.000266,-0.000256,,,,,,,0.133,0.007,-0.007,0.0373,0.0002,-0.0002,,,
K2-151 b,K2-151,Transit,3.83553,0.00011,-0.00011,,,,,,,0.094,0.008,-0.021,,,,,,
K2-151 b,K2-151,Transit,3.835376,0.000264,-0.000253,,,,,,,0.13,0.04,-0.03,,,,,,
K2-22 b,K2-22,Transit,0.38107852,,,,,,,,,0.411,,,,,,,,
K2-22 b,K2-22,Transit,0.3810654,1.9e-06,-1.8e-06,,,,,,,0.48,0.065,-0.041,,,,,,
K2-22 b,K2-22,Transit,0.381078,3e-06,-3e-06,,,,,,,0.424,0.031,-0.032,0.009,0.0,0.0,0.19,0.221175,-0.152914
K2-22 b,K2-22,Transit,0.381078,1e-06,-1e-06,1.4,,,,,,0.223,0.036,-0.036,0.0088,0.0008,-0.0008,,,
K2-22 b,K2-22,Transit,0.381087,4.1e-05,-4.1e-05,,,,,,,0.385,0.087,-0.087,,,,,,
K2-22 b,K2-22,Transit,1.143201,1.2e-05,-1.2e-05,,,,,,,0.268,0.051,-0.051,0.01604,0.0,0.0,,,
K2-22 b,K2-22,Transit,0.381073,2.4e-05,-2.4e-05,,,,,,,0.205,0.009,-0.009,,,,,,
K2-265 b,K2-265,Transit,2.36840828,,,,,,,,,,,,,,,,,
K2-265 b,K2-265,Transit,2.3690438,,,,,,,,,0.145,,,,,,,,
K2-265 b,K2-265,Transit,2.369193,8.7e-05,-8.7e-05,,,,,,,0.145,0.011,-0.011,,,,,,
K2-265 b,K2-265,Transit,2.369008,5.6e-05,-5.9e-05,,,,,,,0.15,0.01,-0.01,,,,,,
K2-265 b,K2-265,Transit,2.369019,5.8e-05,-6e-05,,,,,,,0.149,0.012,-0.021,,,,,,
K2-265 b,K2-265,Transit,2.369172,8.9e-05,-8.9e-05,0.02058,0.00264,-0.00264,,,,0.153,0.01,-0.01,0.03376,0.00021,-0.00021,0.084,0.079,-0.079
K2-266 b,K2-266,Transit,0.658524,1.7e-05,-1.7e-05,0.03545,0.03578,-0.03578,0.0343,0.03461,-0.01982,0.294,0.161,-0.116,0.01306,0.0002,-0.00021,,,
