pl_name,hostname,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
55 Cnc c,55 Cnc,Radial Velocity,44.3827,0.0038,-0.0038,0.171,0.0066,-0.0066,0.171,0.0066,-0.0066,,,,0.2432,0.0037,-0.0038,0.048,0.031,-0.029
55 Cnc c,55 Cnc,Radial Velocity,44.3446,0.007,-0.007,0.169,0.008,-0.008,0.169,0.008,-0.008,,,,0.24,4.5e-05,-4.5e-05,0.086,0.052,-0.052
55 Cnc c,55 Cnc,Radial Velocity,44.38,0.007,-0.007,0.165,0.0054,-0.0054,0.165,0.0054,-0.0054,,,,0.237,0.0013,-0.0013,0.07,0.02,-0.02
55 Cnc c,55 Cnc,Radial Velocity,44.373,0.02,-0.018,0.1784,0.0275,-0.0078,,,,,,,0.23735,0.00024,-0.00024,0.072,0.013,-0.014
55 Cnc c,55 Cnc,Radial Velocity,44.3787,0.007,-0.007,0.165,0.026,-0.026,0.165,0.026,-0.026,,,,0.238,0.014,-0.014,0.053,0.052,-0.052
55 Cnc d,55 Cnc,Radial Velocity,5360.0,400.0,-400.0,4.05,0.4,-0.4,4.05,0.4,-0.4,,,,5.9,0.9,-0.9,0.16,0.06,-0.06
55 Cnc d,55 Cnc,Radial Velocity,4825.0,39.0,-39.0,3.878,0.068,-0.068,,,,,,,5.503,0.03,-0.03,0.019,0.013,-0.013
55 Cnc d,55 Cnc,Radial Velocity,4820.0,77.0,-72.0,2.86,0.25,-0.25,2.86,0.25,-0.25,,,,5.54,0.1,-0.1,0.139,0.015,-0.016
55 Cnc d,55 Cnc,Radial Velocity,4545.0,1421.0,-1421.0,2.89,0.47,-0.47,2.89,0.47,-0.47,,,,5.28,,,0.24,0.13,-0.13
55 Cnc d,55 Cnc,Radial Velocity,4909.0,30.0,-30.0,3.53,0.08,-0.08,3.53,0.08,-0.08,,,,5.47,0.06,-0.06,0.02,0.008,-0.008
55 Cnc d,55 Cnc,Radial Velocity,5370.0,230.0,-230.0,3.84,0.58,-0.58,3.84,0.58,-0.58,,,,5.84,0.39,-0.39,0.063,0.03,-0.03
55 Cnc d,55 Cnc,Radial Velocity,5574.2,93.8,-88.6,3.12,0.1,-0.1,3.12,0.1,-0.1,,,,5.957,0.074,-0.071,0.13,0.02,-0.02
55 Cnc d,55 Cnc,Radial Velocity,4867.0,25.0,-26.0,3.86,0.6,-0.15,,,,,,,5.446,0.02,-0.02,0.0269,0.0061,-0.0065
55 Cnc d,55 Cnc,Radial Velocity,4517.4,77.8,-77.8,3.912,0.52,-0.52,3.912,0.52,-0.52,,,,5.257,0.208,-0.208,0.327,0.28,-0.28
55 Cnc d,55 Cnc,Radial Velocity,5218.0,230.0,-230.0,3.835,0.08,-0.08,3.835,0.08,-0.08,,,,5.77,0.11,-0.11,0.025,0.03,-0.03
55 Cnc e,55 Cnc,Radial Velocity,0.73654,3e-06,-3e-06,0.027,0.001,-0.001,,,,0.178,0.012,-0.012,0.01583,0.0002,-0.0002,,,
55 Cnc e,55 Cnc,Radial Velocity,0.736539,7e-06,-7e-06,0.02542,0.00098,-0.00098,,,,0.17,0.007,-0.007,0.01544,9e-05,-9e-05,,,
55 Cnc e,55 Cnc,Radial Velocity,0.7365478,1.6e-06,-1.2e-06,0.02547,0.00082,-0.00081,,,,,,,0.015439,1.5e-05,-1.5e-05,0.028,0.022,-0.019
55 Cnc e,55 Cnc,Radial Velocity,0.7365474,1.3e-06,-1.4e-06,0.02514,0.00101,-0.00104,,,,0.167,0.003,-0.003,0.01544,5e-05,-5e-05,0.05,0.03,-0.03
55 Cnc e,55 Cnc,Radial Velocity,0.7365437,5.2e-06,-5.2e-06,0.02457,0.00182,-0.00167,0.02454,0.00176,-0.00176,0.186,0.014,-0.015,0.01544,9e-05,-9e-05,0.061,0.065,-0.043
55 Cnc e,55 Cnc,Radial Velocity,0.737,,,0.02435,0.00116,-0.00094,,,,0.169,0.004,-0.004,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,,,,0.02542,0.00098,-0.00098,,,,0.171,0.007,-0.007,0.01544,9e-05,-9e-05,,,
55 Cnc e,55 Cnc,Radial Velocity,2.808,0.002,-0.002,0.045,0.01,-0.01,0.045,0.01,-0.01,,,,0.038,0.001,-0.001,0.174,0.127,-0.127
55 Cnc e,55 Cnc,Radial Velocity,2.79674,0.0001,-0.0001,0.0235,0.0049,-0.0049,0.0235,0.0049,-0.0049,,,,0.0377,0.0022,-0.0022,0.264,0.06,-0.06
55 Cnc e,55 Cnc,Radial Velocity,0.7365515,1.5e-06,-1.5e-06,0.02561,0.00073,-0.00073,,,,,,,0.015691,0.0,0.0,0.04,0.027,-0.027
55 Cnc e,55 Cnc,Radial Velocity,0.736546,3e-06,-3e-06,0.026,0.001,-0.001,,,,0.194,0.009,-0.009,0.01583,0.0002,-0.0002,0.0,,
55 Cnc e,55 Cnc,Radial Velocity,0.7365417,2.5e-06,-2.8e-06,,,,,,,,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,0.7365445,1.4e-06,-1.5e-06,0.0295,0.0014,-0.0014,0.0295,0.0014,-0.0014,,,,0.01583,0.00024,-0.00024,0.036,0.034,-0.025
55 Cnc e,55 Cnc,Radial Velocity,0.73654582,1.01e-06,-1.01e-06,,,,,,,0.171,0.019,-0.019,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,,,,,,,,,,,,,,,,,,
55 Cnc f,55 Cnc,Radial Velocity,261.2,0.4,-0.4,0.172,0.008,-0.008,0.172,0.008,-0.008,,,,0.77,0.005,-0.005,0.32,0.05,-0.05
55 Cnc f,55 Cnc,Radial Velocity,260.0,1.1,-1.1,0.144,0.04,-0.04,0.144,0.04,-0.04,,,,0.781,0.007,-0.007,0.2,0.2,-0.2
55 Cnc f,55 Cnc,Radial Velocity,260.98,0.24,-0.24,0.1475,0.0094,-0.0094,0.1475,0.0094,-0.0094,,,,0.792,0.012,-0.012,0.142,0.06,-0.066
55 Cnc f,55 Cnc,Radial Velocity,260.91,0.36,-0.36,0.1479,0.0219,-0.0093,,,,,,,0.7733,0.001,-0.001,0.08,0.102,-0.057
55 Cnc f,55 Cnc,Radial Velocity,262.0,0.51,-0.51,0.141,0.012,-0.012,,,,,,,0.788,0.001,-0.001,0.305,0.075,-0.075
55 Cnc f,55 Cnc,Radial Velocity,260.7,1.1,-1.1,0.141,0.039,-0.039,0.141,0.039,-0.039,,,,0.775,0.045,-0.045,0.0,0.2,-0.2
55 Cnc f,55 Cnc,Radial Velocity,259.88,0.29,-0.29,0.1503,0.0076,-0.0076,0.1503,0.0076,-0.0076,,,,0.7708,0.0043,-0.0044,0.08,0.05,-0.04
75 Cet b,75 Cet,Radial Velocity,691.9,3.6,-3.6,3.0,,,3.0,,,,,,2.1,,,0.117,0.048,-0.048
91 Aqr b,91 Aqr,Radial Velocity,181.4,0.1,-0.1,3.2,,,3.2,,,,,,0.7,,,0.027,0.026,-0.026
CoRoT-2 b,CoRoT-2,Transit,1.7429935,1e-06,-1e-06,3.57,0.16,-0.16,,,,1.46,0.031,-0.031,0.02835,0.00047,-0.00047,,,
CoRoT-2 b,CoRoT-2,Transit,1.7429975,2e-07,-2e-07,3.31,0.16,-0.16,,,,1.414,0.064,-0.064,,,,0.0,,
CoRoT-2 b,CoRoT-2,Transit,1.74299673,3.1e-07,-3.1e-07,,,,,,,,,,,,,,,
CoRoT-2 b,CoRoT-2,Transit,1.74299673,3.1e-07,-3.1e-07,3.3,0.19,-0.18,,,,1.466,0.042,-0.044,0.0281,0.00057,-0.00058,0.024,,
CoRoT-2 b,CoRoT-2,Transit,1.742997,1.1e-07,-1.1e-07,,,,,,,,,,,,,,,
CoRoT-2 b,CoRoT-2,Transit,1.74299609,5.9e-07,-5.9e-07,,,,,,,1.475,0.031,-0.031,,,,,,
CoRoT-2 b,CoRoT-2,Transit,1.7429935,1e-06,-1e-06,3.62,0.16,-0.16,,,,1.47,0.032,-0.032,0.02854,0.00048,-0.00048,,,
CoRoT-2 b,CoRoT-2,Transit,1.7429964,1.7e-06,-1.7e-06,3.31,0.16,-0.16,,,,1.465,0.029,-0.029,0.0281,0.0009,-0.0009,0.0,,
CoRoT-2 b,CoRoT-2,Transit,1.7429935,1e-06,-1e-06,3.47,0.22,-0.22,,,,1.466,0.042,-0.044,0.02798,0.00076,-0.0008,0.0143,0.0077,-0.0076
CoRoT-9 b,CoRoT-9,Transit,95.272656,6.8e-05,-6.8e-05,0.84,0.05,-0.05,,,,1.066,0.075,-0.063,0.4021,0.0054,-0.0054,0.133,0.042,-0.037
CoRoT-9 b,CoRoT-9,Transit,95.272656,6.8e-05,-6.8e-05,0.846,0.056,-0.057,,,,1.066,0.075,-0.063,0.4029,0.0054,-0.0056,0.134,0.04,-0.034
CoRoT-9 b,CoRoT-9,Transit,95.2738,0.0014,-0.0014,0.826,0.083,-0.083,,,,1.037,0.082,-0.082,0.4027,0.011,-0.011,,,
CoRoT-9 b,CoRoT-9,Transit,95.2738,0.0014,-0.0014,0.84,0.07,-0.07,,,,1.05,0.04,-0.04,0.407,0.005,-0.005,0.11,0.04,-0.04
DE CVn b,DE CVn,Eclipse Timing Variations,4098.1,131.5,-131.5,12.0293,3.00733,-3.00733,12.0,3.0,-3.0,,,,5.75,2.02,-2.02,0.0,,
DMPP-3 A b,DMPP-3 A,Radial Velocity,6.6732,0.0011,-0.0003,0.00812,0.0011,-0.00182,0.00812,0.0011,-0.00182,,,,0.0662,0.0013,-0.0013,0.14,0.091,-0.053
DMPP-3 A b,DMPP-3 A,Radial Velocity,6.6736,,,0.00812,0.0011,-0.00182,0.00812,0.0011,-0.00182,,,,0.0662,0.0013,-0.0013,0.0,,
DP Leo b,DP Leo,Eclipse Timing Variations,8693.0,,,6.28,0.58,-0.58,,,,,,,8.6,,,,,
DP Leo b,DP Leo,Eclipse Timing Variations,10220.0,730.0,-730.0,6.05,0.47,-0.58,6.05,0.47,-0.58,,,,8.19,0.39,-0.39,0.39,0.13,-0.13
DS Tuc A b,DS Tuc A,Transit,8.138268,1.1e-05,-1.1e-05,,,,,,,0.509,0.015,-0.015,,,,0.0,,
DS Tuc A b,DS Tuc A,Transit,8.1387,0.0005,-0.0005,1.3,,,,,,0.5,0.02,-0.02,,,,,,
DS Tuc A b,DS Tuc A,Transit,8.13822434,6.45e-06,-6.45e-06,,,,,,,0.579,0.044,-0.044,,,,,,
EPIC 246851721 b,EPIC 246851721,Transit,6.1802675,2.3e-06,-2.3e-06,,,,,,,1.184,0.075,-0.075,,,,,,
EPIC 246851721 b,EPIC 246851721,Transit,6.180235,1.4e-05,-1.4e-05,3.0,1.1,-1.2,3.0,1.1,-1.2,1.051,0.044,-0.044,0.07229,0.00074,-0.00075,,,
GJ 15 A b,GJ 15 A,Radial Velocity,11.4433,0.0016,-0.0016,0.01683,0.00236,-0.00236,0.01683,0.00236,-0.00236,,,,0.0717,0.0034,-0.0034,0.0,,
GJ 15 A b,GJ 15 A,Radial Velocity,11.4407,0.0017,-0.0016,0.00953,0.00145,-0.00138,0.00953,0.00145,-0.00138,,,,0.072,0.003,-0.004,0.094,0.091,-0.065
GJ 15 A b,GJ 15 A,Radial Velocity,11.4432,0.0012,-0.0012,0.0171,0.0013,-0.0013,0.0171,0.0013,-0.0013,,,,0.0732,0.00047,-0.00048,0.075,0.072,-0.052
GJ 15 A c,GJ 15 A,Radial Velocity,7600.0,2200.0,-1700.0,0.11327,0.07866,-0.05663,0.11327,0.07866,-0.05663,,,,5.4,1.0,-0.9,0.27,0.28,-0.19
GJ 229 A c,GJ 229,Radial Velocity,121.995,0.161,-0.161,0.02287,0.00395,-0.00395,0.02287,0.00395,-0.00395,,,,0.339,0.011,-0.011,0.19,0.08,-0.08
GJ 229 b,GJ 229,Radial Velocity,526.115,4.3,-4.3,0.02667,0.0064,-0.0064,0.02667,0.0064,-0.0064,,,,0.898,0.031,-0.031,0.1,0.06,-0.06
GJ 229 b,GJ 229,Radial Velocity,471.0,22.0,-12.0,0.10068,0.05349,-0.05034,0.10068,0.05349,-0.05034,,,,0.97,0.12,-0.09,0.1,0.22,-0.1
GJ 3021 b,GJ 3021,Radial Velocity,133.71,0.2,-0.2,3.37,0.09,-0.09,3.37,0.09,-0.09,,,,0.49,,,0.511,0.017,-0.017
GJ 338 B b,GJ 338 B,Radial Velocity,24.45,0.02,-0.02,0.03231,0.00463,-0.00434,0.03231,0.00463,-0.00434,,,,0.141,0.005,-0.005,0.11,0.11,-0.08
GJ 3473 b,GJ 3473,Transit,1.19799593,8.6e-06,-8.6e-06,,,,,,,0.1,0.136,-0.136,,,,,,
GJ 3473 b,GJ 3473,Transit,1.1980035,1.8e-06,-1.9e-06,0.00585,0.00094,-0.00094,,,,0.113,0.004,-0.004,0.01589,0.00062,-0.00062,0.0,,
GJ 3473 c,GJ 3473,Radial Velocity,15.509,0.033,-0.033,0.02331,0.00286,-0.00271,0.02331,0.00286,-0.00271,,,,0.0876,0.0035,-0.0034,0.0,,
GJ 414 A b,GJ 414 A,Radial Velocity,50.8,0.1,-0.26,0.02391,0.00768,-0.00689,0.02391,0.00768,-0.00689,0.235,0.109,-0.076,0.2324,0.0092,-0.0099,0.45,0.19,-0.22
GJ 414 A b,GJ 414 A,Radial Velocity,51.625,0.038,-0.037,0.0322,0.0042,-0.0038,0.0322,0.0042,-0.0038,,,,0.2403,0.0017,-0.0017,0.28,0.13,-0.13
GJ 414 A c,GJ 414 A,Radial Velocity,744.7,3.9,-3.5,0.184,0.01,-0.011,0.184,0.01,-0.011,,,,1.424,0.011,-0.011,0.185,0.069,-0.073
GJ 414 A c,GJ 414 A,Radial Velocity,749.83,4.35,-3.63,0.16937,0.02888,-0.027,0.16937,0.02888,-0.027,0.749,0.321,-0.223,1.4,0.055,-0.06,0.105,0.11,-0.703
GJ 667 C b,GJ 667 C,Radial Velocity,7.20066,0.00067,-0.00067,0.01789,0.00075,-0.00075,0.01789,0.00075,-0.00075,,,,0.049,,,0.172,0.043,-0.043
GJ 667 C b,GJ 667 C,Radial Velocity,7.2004,0.0017,-0.0017,0.018,0.004,-0.004,0.018,0.004,-0.004,,,,0.0505,0.0044,-0.0053,0.13,0.1,-0.11
GJ 667 C b,GJ 667 C,Radial Velocity,7.1999,0.0009,-0.0009,0.018,0.001,-0.001,0.018,0.001,-0.001,,,,0.050431,4e-06,-4e-06,0.15,0.05,-0.05
GJ 667 C b,GJ 667 C,Radial Velocity,7.2,0.001,-0.001,0.018,0.001,-0.001,0.018,0.001,-0.001,,,,0.05,0.002,-0.002,0.122,0.078,-0.078
