System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
GJ 3021,G8V,2006A&A...460..695T,Gaia DR3 4634528720388462592,4.063774501401125,0.018354405,-79.85142960812378,0.017439483,56.96442817792121,0.019215303,17.5522,17.558,17.5465,434.10486443632266,0.026595881,-56.339342290818315,0.021481076,437.74554,-6.068909,0.1324086
GJ 338,,,,,,,,,,,,,,,,,,,
GJ 3473,M4V,2014AJ....147...20N,Gaia DR3 3094290054327367168,120.59355045268761,0.020004839,3.337110091341309,0.013789415,36.61053015816239,0.024273736,--,--,--,-403.19796827775485,0.025347466,-380.9280968279645,0.01735684,554.68445,-1.9450854,0.39764896
GJ 414,K7V,2003AJ....126.2048G,Gaia DR3 732856080807636224,167.76369133153824,0.017017234,30.443892892292382,0.015668023,84.15535722299161,0.01997997,11.8949,11.9456,11.8402,604.906859388117,0.019305775,-206.05390207551753,0.01890891,639.03876,-15.806729,0.13495457
GJ 667,K3V+K5V,2006A&A...460..695T,,,,,,,,,,,,,,,,,
GJ 676,M0V,1972AJ.....77..486U,Gaia DR3 5925209514333720832,262.56573118520566,0.020802446,-51.6404321272004,0.01741962,62.57756152037352,0.022467772,16.0145,16.0805,15.9994,-269.0687630391767,0.02404583,-185.00421594298047,0.017902797,326.53415,-39.607952,0.33709997
GJ 720,M0.5V,1991ApJS...77..417K,Gaia DR3 2118429538570209920,278.86660840698516,0.016286567,45.762979999016885,0.017353423,64.20993840996545,0.017638212,--,--,--,456.42624989652046,0.022177372,361.29195006938784,0.021749368,582.1141,-31.364754,0.3495256
GJ 86,K1.5V,1989ApJS...71..245K,Gaia DR3 4937000898856156288,32.62294594706244,0.035921752,-50.82090583925884,0.04082425,92.92514044230325,0.04607932,10.7084,10.7397,10.6803,2125.416146679918,0.047867194,637.975043070748,0.061558302,2219.1003,55.2173,0.1546862
Gl 49,M1.5V,2015A&A...577A.128A,Gaia DR3 522863309964987520,15.668950820681058,0.011228092,62.345451222893885,0.011862292,101.42379529598418,0.016878147,9.8438,9.8498,9.8136,731.0879947758527,0.013724243,90.53173556175588,0.016883908,736.672,-6.2840915,0.1332864
HAT-P-1,G0V,2011A&A...529A.136E,Gaia DR3 1928431764627661440,344.4453689393576,0.008808271,38.67491310096084,0.010212938,6.243808085100974,0.014619979,158.7827,159.429,154.5959,32.42153558202831,0.013767028,-41.94931071962647,0.012933271,53.01793,-2.6439135,0.22692169
HAT-P-14,F5V,2011AJ....141..161S,Gaia DR3 1340497608486742400,260.1161723018646,0.008782928,38.2421672551959,0.009807851,4.447257229662207,0.010584738,224.1573,224.7708,223.606,2.350301270153323,0.01191638,-6.67914866671022,0.013279681,7.080603,-19.41046,0.22034723
HAT-P-16,F8,2011A&A...529A.136E,Gaia DR3 381592313648387200,9.573030267848816,0.011483975,42.46309539733108,0.010371358,4.495829047019427,0.0154584395,220.6654,221.4393,219.9209,-21.535305310554268,0.011542264,-4.581762773087458,0.011774988,22.01731,-16.666695,0.42024994
HAT-P-22,G5,2011A&A...529A.136E,Gaia DR3 846946629987527168,155.68145370147047,0.008601171,50.12872314718098,0.01117382,12.27305537594609,0.015540047,81.1877,81.2848,81.0806,-26.110212105424264,0.013991112,83.8062941350035,0.015811026,87.77949,12.856509,0.14769213
HAT-P-24,F8,2011A&A...529A.136E,Gaia DR3 3167323052618369408,108.8251182637983,0.012300735,14.26260625049161,0.011267848,2.4202319408034314,0.014783522,401.4178,403.9415,399.242,8.193456696088958,0.015101619,-1.5952041502930205,0.012258892,8.3473,-0.9951621,0.7045571
HAT-P-27,G8,,Gaia DR3 1159336403336463872,222.76731815665812,0.0147510795,5.9473622595959155,0.01385416,4.952759651449276,0.016895672,197.6604,198.5756,195.9388,-28.609939645400036,0.019363329,-2.7744963107117093,0.019091632,28.744156,-16.741198,0.558079
HAT-P-29,,,Gaia DR3 359058441314838528,33.131089802560645,0.013686465,51.77877566319614,0.013999097,3.1358456333758515,0.020119427,--,--,--,-9.972381184596838,0.024160529,1.7899283417663021,0.017248591,10.131743,-21.914396,0.6858706
HAT-P-3,K1V,2018MNRAS.481.3244G,Gaia DR3 1510191594552968832,206.09401017795037,0.01036626,48.0285617144269,0.012580223,7.41592023148546,0.014328971,133.1345,133.4862,131.5636,-19.619094503099316,0.011927814,-23.972689438738414,0.015431108,30.97739,-23.306894,0.31029972
HAT-P-30,G0,,Gaia DR3 3096441729861716224,123.94984068652268,0.012865525,5.836870228936502,0.009947953,4.803689564557499,0.014766899,206.4299,207.0708,205.7566,-17.231496224173426,0.013377172,23.87539405164545,0.01055988,29.444166,45.136883,0.36763796
HAT-P-32,,,Gaia DR3 356348286886230272,31.042759398787133,0.016422974,46.68785164786019,0.01472625,3.493757310890448,0.020485217,283.3834,285.1272,281.6643,-9.763388779422488,0.017625218,3.3510759846573324,0.021392863,10.3224745,-22.523651,1.5963125
HAT-P-33,,,Gaia DR3 893550942158776832,113.18423829688207,0.018280735,33.83502109507552,0.01682714,2.5186166991819907,0.019531319,387.9433,390.6442,384.9883,-0.1252400725112663,0.024453402,-2.4442985915991082,0.02311441,2.447505,22.2108,0.6605851
HAT-P-35,,,Gaia DR3 3094733088793018240,123.25070172107864,0.017703798,4.787027835981808,0.013464144,1.901864790750988,0.021286793,499.6187,506.1833,489.9762,-9.415441532587451,0.020819616,-7.253642375763468,0.015557875,11.885531,40.663742,1.1769578
