pl_name,hostname,discoverymethod,disc_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbper_reflink,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj_reflink,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax_reflink,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen_reflink,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincl_reflink,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtper_reflink
"Kepler-477 b","Kepler-477","Transit","<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>",11.11990653,0.00001160,-0.00001160,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>",0.185,0.016,-0.011,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>",0.091100,,,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0.000000,,,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",87.750,,,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",,,,
"WASP-36 b","WASP-36","Transit","<a refstr=SMITH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....143...81S/abstract target=ref> Smith et al. 2012</a>",1.53736596,0.00000024,-0.00000024,"<a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.1393M/abstract target=ref>Mancini et al. 2016</a>",1.327,0.021,-0.021,"<a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.1393M/abstract target=ref>Mancini et al. 2016</a>",0.026770,0.000280,-0.000280,"<a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.1393M/abstract target=ref>Mancini et al. 2016</a>",0.019000,,,"<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",83.150,0.130,-0.130,"<a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.1393M/abstract target=ref>Mancini et al. 2016</a>",,,,
"TOI-451 c","TOI-451","Transit","<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>",9.19252200,0.00006000,-0.00010000,"<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>",0.277,0.012,-0.012,"<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>",0.082300,0.003300,-0.003600,"<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>",0.000000,,,"<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>",89.610,0.270,-0.360,"<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>",,,,
"55 Cnc e","55 Cnc","Radial Velocity","<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>",0.73654740,0.00000130,-0.00000140,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0.167,0.003,-0.003,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0.015440,0.000050,-0.000050,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0.050000,0.030000,-0.030000,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",83.590,0.470,-0.440,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",2447578.215900,0.000100,-0.000100,"<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>"
"HAT-P-1 b","HAT-P-1","Transit","<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...656..552B/abstract target=ref>Bakos et al. 2007</a>",4.46529976,0.00000055,-0.00000055,"<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>",1.319,0.019,-0.019,"<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>",0.055610,0.000820,-0.000830,"<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>",0.000000,,,"<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>",85.634,0.056,-0.056,"<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>",2463897.111720,,,"<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>"
"HATS-30 b","HATS-30","Transit","<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>",3.17435160,0.00000260,-0.00000260,"<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>",1.175,0.052,-0.052,"<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>",0.043540,0.000420,-0.000420,"<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>",0.096000,,,"<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>",86.840,0.480,-0.480,"<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>",,,,
"K2-136 d","K2-136","Transit","<a refstr=MANN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155....4M/abstract target=ref>Mann et al. 2018</a>",25.57506500,0.00241800,-0.00235700,"<a refstr=MANN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155....4M/abstract target=ref>Mann et al. 2018</a>",0.129,0.010,-0.007,"<a refstr=MANN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155....4M/abstract target=ref>Mann et al. 2018</a>",,,,,0.140000,0.130000,-0.090000,"<a refstr=MANN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155....4M/abstract target=ref>Mann et al. 2018</a>",89.400,0.400,-0.200,"<a refstr=MANN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155....4M/abstract target=ref>Mann et al. 2018</a>",,,,
"WASP-18 c","WASP-18","Transit Timing Variations","<a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>",2.15580000,0.00640000,-0.00640000,"<a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>",0.765,,,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",0.035000,,,"<a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>",0.015000,,,"<a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>",,,,,,,,
"GJ 3473 b","GJ 3473","Transit","<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>",1.19800350,0.00000180,-0.00000190,"<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>",0.113,0.004,-0.004,"<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>",0.015890,0.000620,-0.000620,"<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>",0.000000,,,"<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>",87.950,0.470,-0.450,"<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>",,,,
"55 Cnc c","55 Cnc","Radial Velocity","<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>",44.39890000,0.00420000,-0.00430000,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0.760,,,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",0.237300,0.001300,-0.001300,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0.030000,0.020000,-0.020000,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",89.730,24.490,-24.540,"<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>",2453028.630000,0.250000,-0.250000,"<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>"
"TrES-4 b","TrES-4","Transit","<a refstr=MANDUSHEV_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...667L.195M/abstract target=ref> Mandushev et al. 2007 </a>",3.55395000,0.00007500,-0.00007500,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",1.610,0.180,-0.180,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.050840,0.000500,-0.000500,"<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>",0.000000,,,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",82.810,0.330,-0.330,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",,,,
"WASP-94 A b","WASP-94 A","Transit","<a refstr=NEVEU_VANMALLE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..49N/abstract target=ref>Neveu-VanMalle et al. 2014</a>",3.95019000,0.00000400,-0.00000400,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",1.580,0.130,-0.130,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.055000,0.001000,-0.001000,"<a refstr=NEVEU_VANMALLE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..49N/abstract target=ref>Neveu-VanMalle et al. 2014</a>",0.000000,,,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",88.700,0.700,-0.700,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",,,,
"KOI-94 d","KOI-94","Transit","<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>",22.34298900,0.00000670,-0.00000670,"<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>",1.005,0.095,-0.095,"<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>",0.168400,0.002200,-0.002200,"<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>",0.022000,0.038000,-0.038000,"<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>",89.871,0.123,-0.123,"<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>",,,,
"LHS 1678 c","LHS 1678","Transit","<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>",3.69424700,0.00000240,-0.00000210,"<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>",0.088,0.006,-0.006,"<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>",0.033100,0.001600,-0.001500,"<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>",0.220000,,,"<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>",89.090,0.570,-0.460,"<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>",,,,
"TrES-2 b","TrES-2","Transit","<a refstr=O_DONOVAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...651L..61O/abstract target=ref> O'Donovan et al. 2006 </a>",2.47063000,0.00001000,-0.00001000,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",1.360,0.080,-0.080,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.035630,0.000480,-0.000580,"<a refstr=KIPPING__AMP__BAKOS_2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...733...36K/abstract target=ref>Kipping &amp Bakos 2011</a>",0.000000,,,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",83.570,0.140,-0.140,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",,,,
"HAT-P-3 b","HAT-P-3","Transit","<a refstr=TORRES_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...666L.121T/abstract target=ref> Torres et al. 2007 </a>",2.89970000,0.00005400,-0.00005400,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.940,0.070,-0.070,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.038660,0.000410,-0.000410,"<a refstr=CHAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..179C/abstract target=ref> Chan et al. 2011 </a>",0.000000,,,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",87.240,0.690,-0.690,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",2464187.008000,,,"<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>"
"Kepler-411 d","Kepler-411","Transit","<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>",58.02035000,0.00056000,-0.00056000,"<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>",0.296,0.009,-0.009,"<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>",0.279000,0.004000,-0.004000,"<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>",0.128000,0.003000,-0.003000,"<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>",89.430,0.020,-0.020,"<a refstr=SUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..15S/abstract target=ref>Sun et al. 2019</a>",,,,
"Qatar-6 b","Qatar-6","Transit","<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>",3.50619500,0.00001800,-0.00001800,"<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>",1.062,0.071,-0.071,"<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>",0.042300,0.000400,-0.000400,"<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>",0.000000,,,"<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>",86.010,0.140,-0.140,"<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>",,,,
"KELT-19 A b","KELT-19 A","Transit","<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>",4.61170930,0.00000880,-0.00000880,"<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>",1.910,0.110,-0.110,"<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>",0.063700,0.003100,-0.002700,"<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>",,,,,85.410,0.340,-0.310,"<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>",,,,
"55 Cnc f","55 Cnc","Radial Velocity","<a refstr=FISCHER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675..790F/abstract target=ref> Fischer et al. 2008 </a>",259.88000000,0.29000000,-0.29000000,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0.677,,,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",0.770800,0.004300,-0.004400,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0.080000,0.050000,-0.040000,"<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",89.730,24.490,-24.540,"<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>",2447488.000000,1.100000,-1.100000,"<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>"
"KELT-23 A b","KELT-23 A","Transit","<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>",2.25525100,0.00001100,-0.00001200,"<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>",1.323,0.025,-0.025,"<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>",0.033020,0.000680,-0.000640,"<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>",0.000000,,,"<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>",85.370,0.310,-0.300,"<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>",2458007.319400,0.002700,-0.002800,"<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>"
"WASP-55 b","WASP-55","Transit","<a refstr=HELLIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426..739H/abstract target=ref> Hellier et al. 2012 </a>",4.46563000,0.00000400,-0.00000400,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",1.330,0.130,-0.130,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.055800,0.000600,-0.000600,"<a refstr=SOUTHWORTH_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.4205S/abstract target=ref>Southworth et al. 2016</a>",0.000000,,,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",89.600,0.200,-0.200,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",,,,
"TOI-1259 A b","TOI-1259 A","Transit","<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>",3.47797800,0.00000190,-0.00000170,"<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>",1.022,0.030,-0.027,"<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>",0.040700,0.001140,-0.001100,"<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>",0.000000,,,"<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>",89.700,0.200,-0.260,"<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>",,,,
"WASP-45 b","WASP-45","Transit","<a refstr=ANDERSON_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1105.3179A/abstract target=ref> Anderson et al. 2011 </a>",3.12608900,0.00000300,-0.00000300,"<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>",0.946,0.058,-0.051,"<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>",0.039630,0.001140,-0.001120,"<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>",0.043000,,,"<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",85.020,0.200,-0.220,"<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>",,,,
